,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,Daniel ,Theis,C,26,203,243,1,70,0.5,1.2,0.737,3,0.603,1,0.388,1.3,17,2.1,30,1,70,73,0.3,0.6,62,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,D'Angelo,Russell,PG,22,195.58,195,2,58,3.1,2.5,0.78,10.9,0.482,7.8,0.369,0.7,100,3.2,70,7,80,94,1.2,0.2,71,,,,
players,DeMarre,Carroll,PF,32,203.2,215,2,67,1.1,3.6,0.76,4,0.457,4.6,0.342,1,41,4.2,63,1.3,70,64,0.5,0.1,89,,,,
players,Jarrett,Allen,C,20,210.82,224,2,68,1.3,3.5,0.709,6.5,0.629,0.6,0.133,2.4,15,6,59,1.4,70,100,0.5,1.5,80,,,,
players,Spencer,Dinwiddie,PG,25,198.12,200,2,52,2.2,5.2,0.806,6.7,0.528,5.4,0.335,0.4,15,2.1,60,4.6,70,85,0.6,0.3,100,,,,
players,Treveon,Graham,SG,25,196,225,2,52,0.5,0.6,0.818,1.8,0.413,3.7,0.297,0.7,17,2.4,50,1,70,70,0.4,0.2,71,,,,
players,Dzanan,Musa,SF,19,203.2,220,2,60,0.4,0.2,0,1.3,0.667,1.1,0.1,0.1,15,0.4,38,0.2,70,88,0.2,0,58,R,,,
players,Joe,Harris,SG,25,198.12,219,2,52,1.6,1.8,0.827,4.8,0.527,5.1,0.471,0.7,17,3.1,59,2.4,70,79,0.5,0.2,89,,,,
players,Rondae,Hollis-Jefferson,SF,24,200.66,220,2,70,1.2,3.1,0.645,7.4,0.436,0.8,0.184,1.4,17,3.8,51,1.6,75,88,0.7,0.5,91,,,,
players,Theo,Pinson,SG,27,206,208,2,55,1,1.2,0.864,1.5,0.481,2.6,0.261,0.2,19,1.8,65,1.2,75,73,0.3,0,98,,,,
players,Caris,LeVert,SG,24,200.66,203,2,58,1.7,3.1,0.691,8.2,0.483,3.9,0.315,0.9,17,2.9,68,3.9,72,88,1.1,0.4,70,,,,
players,Rodions,Kurucs,SF,20,203.2,190,2,63,1.2,1.5,0.783,4.2,0.543,2.9,0.315,0.9,15,3,46,0.8,70,97,0.7,0.4,80,R,,,
players,Jared,Dudley,SF,33,200.66,225,2,58,0.7,0.8,0.696,1.5,0.545,2.6,0.351,0.6,16,2.1,38,1.4,70,61,0.6,0.3,68,,,,
players,Allen,Crabbe,SG,26,198.12,210,2,49,1.1,1.3,0.732,2.7,0.342,6,0.378,0.4,17,3.1,48,1.1,70,82,0.5,0.3,100,,,,
players,Ed,Davis,C,29,208.28,240,2,61,0.8,2,0.617,3.7,0.62,0,0,2.7,17,5.9,26,0.8,75,73,0.4,0.4,84,,,,
players,Shabazz,Napier,PG,27,185.42,175,2,67,1.2,2.5,0.833,3.7,0.449,4.1,0.333,0.3,15,1.5,50,2.6,70,79,0.7,0.3,63,,,,
players,Alan ,Williams,C,26,203,265,2,70,0.8,2.1,0.626,2.4,0.509,0.2,0,1.7,17,3.8,30,0.6,70,73,0.6,0.6,62,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Nicolas,Batum,SG,30,203.2,200,3,65,1.6,1.2,0.865,3.5,0.519,4,0.389,0.9,45,4.3,46,3.3,70,70,0.9,0.6,93,IH,,,
players,Malik,Monk,SG,20,193.04,185,3,57,1.2,1.4,0.882,3.5,0.461,4.5,0.33,0.2,45,1.7,45,1.6,70,97,0.5,0.3,90,,,,
players,Miles,Bridges,SG,20,198.12,220,3,64,0.6,1,0.753,3.9,0.553,2.5,0.325,0.8,15,3.2,50,1.2,70,85,0.7,0.6,50,R,,,
players,Frank,Kaminsky III,C,25,213.36,242,3,69,0.9,2.3,0.738,3.4,0.463,3,0.36,0.8,20,2.6,30,1.3,70,85,0.3,0.3,96,,,,
players,Michael,Kidd-Gilchrist,SF,25,200.66,232,3,80,0.7,1.9,0.772,4.5,0.498,0.7,0.34,1.4,23,2.5,57,1,70,85,0.5,0.6,98,,,,
players,Jeremy,Lamb,SG,26,195.58,185,3,79,1,3.3,0.888,8.2,0.487,4.2,0.348,0.8,17,4.7,60,2.2,70,82,1,0.4,70,,,,
players,Devonte',Graham,PG,23,187.96,175,3,54,0.7,1,0.761,2.1,0.421,2.6,0.281,0.2,15,1.2,40,2.6,70,91,0.5,0,65,R,,,
players,Dwayne,Bacon,SG,23,195.58,202,3,64,0.4,1.1,0.739,4,0.494,2,0.437,0.2,15,1.9,40,1.1,70,91,0.3,0.1,65,,,,
players,Tony,Parker,PG,36,187.96,185,3,60,1.3,2.2,0.734,7.4,0.485,0.9,0.225,0.3,100,1.2,42,3.7,70,52,0.4,0.1,71,HF,,,
players,Shelvin,Mack,PG,28,190.5,203,3,73,1.2,1.5,0.69,4.8,0.429,2.3,0.354,0.3,16,1.5,40,3.2,70,76,0.8,0.1,88,,,,
